YEAR,AVERAGE of TMIN,AVERAGE of TMAX
1895,38.10,62.57
1896,40.24,63.74
1897,39.70,63.40
1898,39.55,63.31
1899,39.08,62.93
1900,40.96,64.59
1901,39.77,63.97
1902,39.79,63.38
1903,38.75,62.49
1904,38.92,63.39
1905,39.45,62.54
1906,40.12,63.32
1907,39.69,63.27
1908,39.96,64.19
1909,39.54,63.33
1910,39.90,64.93
1911,40.09,63.97
1912,38.49,61.97
1913,39.60,63.48
1914,39.94,63.74
1915,39.84,63.05
1916,38.57,63.12
1917,37.62,62.50
1918,39.80,63.93
1919,39.78,63.31
1920,39.45,62.70
1921,41.63,65.96
1922,40.01,64.05
1923,39.87,63.41
1924,38.26,62.92
1925,40.41,64.62
1926,40.03,63.87
1927,40.38,63.91
1928,39.90,63.92
1929,38.78,62.92
1930,39.76,64.19
1931,41.43,65.64
1932,39.70,63.76
1933,40.57,65.41
1934,41.44,66.76
1935,40.11,63.68
1936,39.70,64.60
1937,39.66,63.44
1938,41.14,65.22
1939,40.61,65.91
1940,40.04,63.73
1941,41.23,64.08
1942,39.82,63.85
1943,39.54,64.60
1944,39.83,63.83
1945,39.80,63.69
1946,40.73,65.15
1947,39.95,63.87
1948,39.38,63.84
1949,39.84,64.20
1950,39.17,63.61
1951,39.05,63.19
1952,39.85,64.70
1953,40.96,65.77
1954,40.87,65.78
1955,39.41,63.96
1956,39.76,64.92
1957,40.63,63.47
1958,40.13,63.73
1959,40.06,64.15
1960,39.45,63.43
1961,39.91,63.82
1962,39.84,63.96
1963,39.85,64.65
1964,39.43,63.91
1965,39.89,63.47
1966,39.34,63.64
1967,39.69,63.83
1968,39.43,63.21
1969,39.81,63.19
1970,39.67,63.55
1971,39.78,63.53
1972,39.64,63.08
1973,40.75,63.82
1974,40.21,64.32
1975,39.77,63.23
1976,38.87,64.07
1977,40.52,64.58
1978,39.32,62.77
1979,39.06,62.71
1980,40.33,64.44
1981,41.17,65.07
1982,39.84,62.83
1983,40.68,63.07
1984,40.37,63.59
1985,39.55,63.05
1986,41.74,64.90
1987,41.32,65.34
1988,40.07,65.18
1989,39.69,63.97
1990,41.39,65.63
1991,41.51,64.80
1992,41.07,64.13
1993,39.83,62.68
1994,40.94,64.80
1995,40.96,64.34
1996,40.05,63.71
1997,40.68,63.72
1998,42.82,65.63
1999,41.55,66.20
2000,41.21,65.31
2001,41.74,65.64
2002,41.22,65.19
2003,41.40,65.11
2004,41.57,64.61
2005,41.78,65.49
2006,42.08,66.41
2007,41.67,65.64
2008,40.13,64.45
2009,40.60,64.17
2010,41.31,64.66
2011,41.20,65.16
2012,42.88,67.69
2013,40.70,64.15
2014,40.73,64.34
2015,42.71,66.07
2016,43.13,66.69
2017,42.74,66.33
2018,21.16,43.14
Grand Total,40.22,64.15